																						
	Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	A56AF	BASUSDA_45	CV1	CV8	Cv1	DSM26508	SAM215	UFO-VIO
	rimI		ribosomal protein S18-alanine N-acetyltransferase	8	8	1	301	6744				443	443	443	PAGBNG_02686	EADAOE_01945	MJAKFC_01926	PIBFPJ_00057	MDFDNN_04055	BLLDNB_01323	KCCMJC_00022	HCOCDN_01491
	II family cellulose-binding protein		II family cellulose-binding protein	8	8	1	301	6719				206	413	387	PAGBNG_02707	EADAOE_01966	MJAKFC_02971	PIBFPJ_00096	MDFDNN_04040	BLLDNB_01301	KCCMJC_03739	HCOCDN_01540
	group_2081	eamA	EamA family transporter	8	8	1	301	6714				896	896	896	PAGBNG_02713	EADAOE_01971	MJAKFC_02966	PIBFPJ_00101	MDFDNN_04027	BLLDNB_01296	KCCMJC_03062	HCOCDN_01546
	group_2082	araC	AraC family transcriptional regulator	8	8	1	301	6713				821	824	823	PAGBNG_02714	EADAOE_01972	MJAKFC_02965	PIBFPJ_00102	MDFDNN_04026	BLLDNB_01295	KCCMJC_03061	HCOCDN_01547
	group_2083	EamA-like transporter family protein	EamA-like transporter family protein	8	8	1	301	6710				383	470	459	PAGBNG_02717	EADAOE_01975	MJAKFC_02962	PIBFPJ_00105	MDFDNN_04023	BLLDNB_01292	KCCMJC_03058	HCOCDN_01550
	Alkene reductase		Alkene reductase	8	8	1	301	6698				800	1106	1067	PAGBNG_02729	EADAOE_01985	MJAKFC_02953	PIBFPJ_00114	MDFDNN_04009	BLLDNB_01281	KCCMJC_03049	HCOCDN_01559
	group_2086	S9 family peptidase	S9 family peptidase	8	8	1	301	6697				1682	2069	2020	PAGBNG_02730	EADAOE_01986	MJAKFC_02952	PIBFPJ_00115	MDFDNN_04008	BLLDNB_01280	KCCMJC_03048	HCOCDN_01560
	group_2087	diguanylate cyclase	diguanylate cyclase	8	8	1	301	6695				806	923	908	PAGBNG_02732	EADAOE_01988	MJAKFC_02950	PIBFPJ_00117	MDFDNN_04006	BLLDNB_01278	KCCMJC_03046	HCOCDN_01562
	queE		7-carboxy-7-deazaguanine synthase	8	8	1	301	6689				635	653	637	PAGBNG_02737	EADAOE_01994	MJAKFC_02945	PIBFPJ_00122	MDFDNN_04001	BLLDNB_01273	KCCMJC_03041	HCOCDN_01567
	group_2093	emrE	Quaternary ammonium compound resistance protein / ethidium bromide resistant protein	8	8	1	301	4866				197	332	315	PAGBNG_02755	EADAOE_04052	MJAKFC_03924	PIBFPJ_03359	MDFDNN_00470	BLLDNB_01001	KCCMJC_00622	HCOCDN_00690
	group_2094	lysR	LysR family transcriptional regulator	8	8	1	301	4868				860	899	889	PAGBNG_02757	EADAOE_04054	MJAKFC_03746	PIBFPJ_03361	MDFDNN_00468	BLLDNB_01003	KCCMJC_00620	HCOCDN_00692
	lacI		LacI family transcriptional regulator	8	8	1	301	5014				941	941	941	PAGBNG_02774	EADAOE_01019	MJAKFC_01215	PIBFPJ_03047	MDFDNN_00905	BLLDNB_01021	KCCMJC_00603	HCOCDN_00709
	XRE family transcriptional regulator		XRE family transcriptional regulator	8	8	1	301	5006				401	401	401	PAGBNG_02782	EADAOE_01011	MJAKFC_01207	PIBFPJ_03039	MDFDNN_00913	BLLDNB_01029	KCCMJC_00595	HCOCDN_00717
	Glyoxalase/bleomycin resistance/dioxygenase family protein		Glyoxalase/bleomycin resistance/dioxygenase family protein	8	8	1	301	5005				398	398	398	PAGBNG_02783	EADAOE_01010	MJAKFC_01206	PIBFPJ_03038	MDFDNN_00914	BLLDNB_01030	KCCMJC_00594	HCOCDN_00718
	aTM1		Lipid A export ATP-binding/permease protein MsbA	8	8	1	301	5003				590	1787	1637	PAGBNG_02785	EADAOE_01008	MJAKFC_01204	PIBFPJ_03036	MDFDNN_00916	BLLDNB_01032	KCCMJC_00592	HCOCDN_00720
	group_2100	hypothetical protein	hypothetical protein	8	8	1	301	5002				107	107	107	PAGBNG_02786	EADAOE_01007	MJAKFC_01203	PIBFPJ_03035	MDFDNN_00918	BLLDNB_01033	KCCMJC_00591	HCOCDN_00721
	Peptidase		Peptidase	8	8	1	301	5029				956	1337	1289	PAGBNG_02806	EADAOE_03879	MJAKFC_01184	PIBFPJ_03015	MDFDNN_00577	BLLDNB_01053	KCCMJC_00573	HCOCDN_00740
	anhydro-N-acetylmuramic acid kinase		anhydro-N-acetylmuramic acid kinase	8	8	1	301	5030				1103	1103	1103	PAGBNG_02807	EADAOE_03880	MJAKFC_01183	PIBFPJ_03014	MDFDNN_00576	BLLDNB_01054	KCCMJC_00572	HCOCDN_00741
	GMC family oxidoreductase		GMC family oxidoreductase	8	8	1	301	5041				371	1610	1455	PAGBNG_02816	EADAOE_03889	MJAKFC_01174	PIBFPJ_03005	MDFDNN_00567	BLLDNB_01063	KCCMJC_00563	HCOCDN_00750
	group_2105	Twin-arginine translocation pathway signal protein	Twin-arginine translocation pathway signal protein	8	8	1	301	5042				497	518	499	PAGBNG_02817	EADAOE_03890	MJAKFC_01173	PIBFPJ_03004	MDFDNN_00565	BLLDNB_01064	KCCMJC_00562	HCOCDN_00751
	Phosphatidylglycerophosphatase A		Phosphatidylglycerophosphatase A	8	8	1	301	5245				500	500	500	PAGBNG_02823	EADAOE_03896	MJAKFC_01167	PIBFPJ_02998	MDFDNN_00727	BLLDNB_01070	KCCMJC_00556	HCOCDN_00757
	yocR		Transporter	8	8	1	301	5230				587	1382	1282	PAGBNG_02836	EADAOE_03909	MJAKFC_01154	PIBFPJ_02985	MDFDNN_00740	BLLDNB_01083	KCCMJC_00543	HCOCDN_00770
	Thioesterase		Thioesterase	8	8	1	301	5225				395	428	403	PAGBNG_02841	EADAOE_03914	MJAKFC_01149	PIBFPJ_02980	MDFDNN_00745	BLLDNB_03418	KCCMJC_00538	HCOCDN_00775
	orn		oligoribonuclease	8	8	1	301	5219				509	545	540	PAGBNG_02847	EADAOE_03920	MJAKFC_01143	PIBFPJ_02974	MDFDNN_00749	BLLDNB_03412	KCCMJC_00532	HCOCDN_00781
	group_2111	3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase	8	8	1	301	5208				545	962	909	PAGBNG_02858	EADAOE_03931	MJAKFC_01132	PIBFPJ_02963	MDFDNN_00759	BLLDNB_03401	KCCMJC_00521	HCOCDN_00792
	Cytokinin riboside 5'-monophosphate phosphoribohydrolase		Cytokinin riboside 5'-monophosphate phosphoribohydrolase	8	8	1	301	5206				581	581	581	PAGBNG_02860	EADAOE_03933	MJAKFC_01130	PIBFPJ_02961	MDFDNN_00761	BLLDNB_03399	KCCMJC_00519	HCOCDN_00794
	pheA		prephenate dehydratase	8	8	1	301	5205				629	1070	1014	PAGBNG_02861	EADAOE_03934	MJAKFC_01129	PIBFPJ_02960	MDFDNN_00762	BLLDNB_03398	KCCMJC_00518	HCOCDN_00795
	Alpha/beta hydrolase		Alpha/beta hydrolase	8	8	1	301	5204				794	794	794	PAGBNG_02862	EADAOE_03935	MJAKFC_01128	PIBFPJ_02959	MDFDNN_00763	BLLDNB_03397	KCCMJC_00517	HCOCDN_00796
	Ferredoxin		Ferredoxin	8	8	1	301	5201				338	338	338	PAGBNG_02865	EADAOE_03938	MJAKFC_01125	PIBFPJ_02956	MDFDNN_00766	BLLDNB_03394	KCCMJC_00514	HCOCDN_00799
	rlmJ		Ribosomal RNA large subunit methyltransferase J	8	8	1	301	5194				140	848	759	PAGBNG_02872	EADAOE_03945	MJAKFC_01118	PIBFPJ_02949	MDFDNN_00774	BLLDNB_03387	KCCMJC_00507	HCOCDN_00806
	group_2119	Transcriptional regulator	Transcriptional regulator	8	8	1	301	5188				692	707	693	PAGBNG_02880	EADAOE_03950	MJAKFC_01113	PIBFPJ_02941	MDFDNN_00777	BLLDNB_03379	KCCMJC_00502	HCOCDN_00815
	group_2120	hypothetical protein	hypothetical protein	8	8	1	301	5173				146	146	146	PAGBNG_02889	EADAOE_03959	MJAKFC_01104	PIBFPJ_02932	MDFDNN_00787	BLLDNB_03370	KCCMJC_00493	HCOCDN_00824
	Metal-dependent hydrolase		Metal-dependent hydrolase	8	8	1	301	5132				500	554	506	PAGBNG_02918	EADAOE_00976	MJAKFC_01074	PIBFPJ_02851	MDFDNN_00595	BLLDNB_03333	KCCMJC_00463	HCOCDN_00912
	fdhF		formate dehydrogenase subunit alpha	8	8	1	301	5127				2147	2147	2147	PAGBNG_02922	EADAOE_00972	MJAKFC_01070	PIBFPJ_02847	MDFDNN_00590	BLLDNB_03329	KCCMJC_00459	HCOCDN_00916
	hypE		hydrogenase expression/formation protein HypE	8	8	1	301	5118				1031	1031	1031	PAGBNG_02929	EADAOE_00965	MJAKFC_01063	PIBFPJ_02840	MDFDNN_04607	BLLDNB_03322	KCCMJC_00452	HCOCDN_00923
	group_2125	4Fe-4S ferredoxin-type domain-containing protein	4Fe-4S ferredoxin-type domain-containing protein	8	8	1	301	5874				620	620	620	PAGBNG_02931	EADAOE_00963	MJAKFC_01451	PIBFPJ_03363	MDFDNN_04698	BLLDNB_03320	KCCMJC_02550	HCOCDN_00925
	group_2127	lysR	LysR family transcriptional regulator	8	8	1	301	5886				908	908	908	PAGBNG_02943	EADAOE_00951	MJAKFC_01439	PIBFPJ_03375	MDFDNN_00438	BLLDNB_03308	KCCMJC_02538	HCOCDN_00937
	estA		Lipase	8	8	1	301	5891				932	932	932	PAGBNG_02947	EADAOE_00947	MJAKFC_01435	PIBFPJ_03379	MDFDNN_00434	BLLDNB_03304	KCCMJC_02534	HCOCDN_00941
	asd		archaetidylserine decarboxylase	8	8	1	301	603				326	842	777	PAGBNG_03531	EADAOE_02797	MJAKFC_02180	PIBFPJ_00962	MDFDNN_03090	BLLDNB_02324	KCCMJC_00400	HCOCDN_02338
	group_2130	pilZ	PilZ domain-containing protein	8	8	1	301	5893				143	1517	1345	PAGBNG_02949	EADAOE_03700	MJAKFC_01433	PIBFPJ_03381	MDFDNN_00432	BLLDNB_03302	KCCMJC_02532	HCOCDN_00943
	Methyl-accepting chemotaxis protein		Methyl-accepting chemotaxis protein	8	8	1	301	5900				137	1628	1441	PAGBNG_02955	EADAOE_03694	MJAKFC_01427	PIBFPJ_03387	MDFDNN_00337	BLLDNB_03295	KCCMJC_02526	HCOCDN_00949
	dbpA		ATP-dependent RNA helicase DbpA	8	8	1	301	5902				230	1382	1238	PAGBNG_02956	EADAOE_03693	MJAKFC_01426	PIBFPJ_03388	MDFDNN_00336	BLLDNB_03294	KCCMJC_02525	HCOCDN_00950
	Transcriptional regulator		Transcriptional regulator	8	8	1	301	6082				812	1019	993	PAGBNG_02963	EADAOE_03687	MJAKFC_01419	PIBFPJ_03394	MDFDNN_00248	BLLDNB_03287	KCCMJC_02519	HCOCDN_00956
	Gluconokinase		Gluconokinase	8	8	1	301	6081				500	500	500	PAGBNG_02964	EADAOE_03686	MJAKFC_01418	PIBFPJ_03395	MDFDNN_00247	BLLDNB_03286	KCCMJC_02518	HCOCDN_00957
	group_2136	hypothetical protein	hypothetical protein	8	8	1	301	6064				188	251	243	PAGBNG_02979	EADAOE_03678	MJAKFC_01403	PIBFPJ_03410	MDFDNN_00348	BLLDNB_03271	KCCMJC_02503	HCOCDN_00973
	group_2137	hypothetical protein	hypothetical protein	8	8	1	301	6061				197	197	197	PAGBNG_02981	EADAOE_03680	MJAKFC_01401	PIBFPJ_03412	MDFDNN_00346	BLLDNB_03269	KCCMJC_02501	HCOCDN_00975
	group_2138	paaJ	acetyl-CoA C-acyltransferase	8	8	1	301	6054				89	1202	1062	PAGBNG_02986	EADAOE_00944	MJAKFC_01396	PIBFPJ_03417	MDFDNN_00341	BLLDNB_03264	KCCMJC_02496	HCOCDN_00980
	group_2139	fadB	3-hydroxyacyl-CoA dehydrogenase	8	8	1	301	6053				446	2375	2133	PAGBNG_02987	EADAOE_00943	MJAKFC_01395	PIBFPJ_03418	MDFDNN_00428	BLLDNB_03263	KCCMJC_03027	HCOCDN_00981
	group_2140	yciA	Acyl-CoA thioesterase	8	8	1	301	6047				377	377	377	PAGBNG_02989	EADAOE_00941	MJAKFC_01393	PIBFPJ_03420	MDFDNN_00422	BLLDNB_03261	KCCMJC_03025	HCOCDN_00983
	MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit		MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit	8	8	1	301	6035				1250	1250	1250	PAGBNG_02998	EADAOE_00932	MJAKFC_01384	PIBFPJ_03429	MDFDNN_00410	BLLDNB_03252	KCCMJC_03016	HCOCDN_00992
	MdtB/MuxB family multidrug efflux RND transporter permease subunit		MdtB/MuxB family multidrug efflux RND transporter permease subunit	8	8	1	301	6034				2630	3101	3042	PAGBNG_02999	EADAOE_00931	MJAKFC_01383	PIBFPJ_03430	MDFDNN_00408	BLLDNB_03251	KCCMJC_03015	HCOCDN_00993
	DNA polymerase III subunit epsilon		DNA polymerase III subunit epsilon	8	8	1	301	6027				623	632	630	PAGBNG_03004	EADAOE_00926	MJAKFC_01378	PIBFPJ_03435	MDFDNN_00401	BLLDNB_03246	KCCMJC_03010	HCOCDN_00998
	DUF697 domain-containing protein		DUF697 domain-containing protein	8	8	1	301	5999				473	473	473	PAGBNG_03019	EADAOE_00913	MJAKFC_01363	PIBFPJ_03450	MDFDNN_00959	BLLDNB_03231	KCCMJC_03423	HCOCDN_01013
	pdxJ		pyridoxine 5'-phosphate synthase	8	8	1	301	5996				731	731	731	PAGBNG_03022	EADAOE_00910	MJAKFC_01360	PIBFPJ_03453	MDFDNN_00962	BLLDNB_03228	KCCMJC_03426	HCOCDN_01016
	group_2148	lepB	signal peptidase I	8	8	1	301	5989				137	977	872	PAGBNG_03028	EADAOE_00904	MJAKFC_01354	PIBFPJ_03459	MDFDNN_00967	BLLDNB_03222	KCCMJC_03432	HCOCDN_01022
	prpC		2-methylcitrate synthase	8	8	1	301	5981				986	1148	1127	PAGBNG_03036	EADAOE_00896	MJAKFC_01346	PIBFPJ_03467	MDFDNN_00977	BLLDNB_03214	KCCMJC_03440	HCOCDN_01030
	acnD		Fe/S-dependent 2-methylisocitrate dehydratase AcnD	8	8	1	301	5980				2603	2603	2603	PAGBNG_03038	EADAOE_00895	MJAKFC_01345	PIBFPJ_03468	MDFDNN_00978	BLLDNB_03212	KCCMJC_03441	HCOCDN_01031
	ChrR-like cupin domain-containing protein		ChrR-like cupin domain-containing protein	8	8	1	301	5977				350	524	371	PAGBNG_03040	EADAOE_00893	MJAKFC_01343	PIBFPJ_03470	MDFDNN_00980	BLLDNB_03210	KCCMJC_03443	HCOCDN_01033
	eda		2-dehydro-3-deoxy-phosphogluconate aldolase	8	8	1	301	4452				581	626	620	PAGBNG_03084	EADAOE_03261	MJAKFC_03081	PIBFPJ_01415	MDFDNN_02665	BLLDNB_00829	KCCMJC_03327	HCOCDN_02804
	edd		phosphogluconate dehydratase	8	8	1	301	4453				1832	1832	1832	PAGBNG_03085	EADAOE_03260	MJAKFC_03080	PIBFPJ_01414	MDFDNN_02666	BLLDNB_00830	KCCMJC_03326	HCOCDN_02803
	6-phosphogluconolactonase		6-phosphogluconolactonase	8	8	1	301	4455				677	677	677	PAGBNG_03087	EADAOE_03258	MJAKFC_03078	PIBFPJ_01412	MDFDNN_02668	BLLDNB_00832	KCCMJC_03324	HCOCDN_02801
	MmcQ/YjbR family DNA-binding protein		MmcQ/YjbR family DNA-binding protein	8	8	1	301	4465				350	350	350	PAGBNG_03096	EADAOE_03249	MJAKFC_03069	PIBFPJ_01403	MDFDNN_02677	BLLDNB_02067	KCCMJC_03315	HCOCDN_02792
	pdxH		pyridoxamine 5'-phosphate oxidase	8	8	1	301	4088				593	641	635	PAGBNG_03102	EADAOE_03243	MJAKFC_03063	PIBFPJ_01397	MDFDNN_02607	BLLDNB_02073	KCCMJC_03309	HCOCDN_02786
	ppc		phosphoenolpyruvate carboxylase	8	8	1	301	4085				2051	2696	2615	PAGBNG_03105	EADAOE_03240	MJAKFC_03060	PIBFPJ_01394	MDFDNN_02604	BLLDNB_02076	KCCMJC_03559	HCOCDN_02783
	hemC		hydroxymethylbilane synthase	8	8	1	301	4084				290	929	849	PAGBNG_03106	EADAOE_03239	MJAKFC_03059	PIBFPJ_01393	MDFDNN_02603	BLLDNB_01917	KCCMJC_03558	HCOCDN_02782
	uroporphyrinogen-III synthase		uroporphyrinogen-III synthase	8	8	1	301	4083				731	731	731	PAGBNG_03107	EADAOE_03238	MJAKFC_03058	PIBFPJ_01392	MDFDNN_02602	BLLDNB_01918	KCCMJC_03557	HCOCDN_02781
	group_2163	lysR	HTH lysR-type domain-containing protein	8	8	1	301	4080				404	920	855	PAGBNG_03110	EADAOE_03235	MJAKFC_03055	PIBFPJ_01389	MDFDNN_02598	BLLDNB_01921	KCCMJC_03554	HCOCDN_02778
	group_2164	cysE	serine O-acetyltransferase	8	8	1	301	4075				782	782	782	PAGBNG_03115	EADAOE_03230	MJAKFC_03050	PIBFPJ_01384	MDFDNN_02593	BLLDNB_01926	KCCMJC_03549	HCOCDN_02773
	lptM		LPS translocon maturation chaperone LptM	8	8	1	301	4427				170	170	170	PAGBNG_03120	EADAOE_03225	MJAKFC_03045	PIBFPJ_01379	MDFDNN_02588	BLLDNB_01931	KCCMJC_03544	HCOCDN_02768
	DUF4156 domain-containing protein		DUF4156 domain-containing protein	8	8	1	301	4409				335	344	336	PAGBNG_03131	EADAOE_03216	MJAKFC_03125	PIBFPJ_01368	MDFDNN_02692	BLLDNB_01941	KCCMJC_01303	HCOCDN_02759
	group_2168	DUF4156 domain-containing protein	DUF4156 domain-containing protein	8	8	1	301	4408				338	344	339	PAGBNG_03132	EADAOE_03215	MJAKFC_03126	PIBFPJ_01367	MDFDNN_02693	BLLDNB_01942	KCCMJC_01304	HCOCDN_02758
	cytC552		Cytochrome C biogenesis protein CcsA	8	8	1	301	4400				305	305	305	PAGBNG_03140	EADAOE_03206	MJAKFC_03134	PIBFPJ_01359	MDFDNN_02699	BLLDNB_01950	KCCMJC_01313	HCOCDN_02750
	Osmotic-shock protein		Osmotic-shock protein	8	8	1	301	4399				233	584	540	PAGBNG_03141	EADAOE_03205	MJAKFC_03135	PIBFPJ_01358	MDFDNN_02700	BLLDNB_01951	KCCMJC_01314	HCOCDN_02749
	group_2172	Response regulatory domain-containing protein	Response regulatory domain-containing protein	8	8	1	301	4391				587	1613	1484	PAGBNG_03148	EADAOE_03198	MJAKFC_03142	PIBFPJ_01351	MDFDNN_02707	BLLDNB_03704	KCCMJC_01321	HCOCDN_02742
	glnQ		Arginine transport ATP-binding protein ArtM	8	8	1	301	4367				743	743	743	PAGBNG_03170	EADAOE_03176	MJAKFC_03165	PIBFPJ_01329	MDFDNN_02730	BLLDNB_03682	KCCMJC_01343	HCOCDN_02720
	group_2176	Benzoate transporter	Benzoate transporter	8	8	1	301	4342				1190	1235	1227	PAGBNG_03185	EADAOE_03160	MJAKFC_01574	PIBFPJ_01311	MDFDNN_02653	BLLDNB_03667	KCCMJC_01358	HCOCDN_02704
	group_2177	Xaa-Pro aminopeptidase	Xaa-Pro aminopeptidase	8	8	1	301	4341				1388	1436	1394	PAGBNG_03186	EADAOE_03159	MJAKFC_01575	PIBFPJ_01310	MDFDNN_02652	BLLDNB_03666	KCCMJC_01359	HCOCDN_02703
	MgtC/SapB transporter		MgtC/SapB transporter	8	8	1	301	4340				1208	1256	1250	PAGBNG_03187	EADAOE_03158	MJAKFC_01576	PIBFPJ_01309	MDFDNN_02738	BLLDNB_03665	KCCMJC_01360	HCOCDN_02702
	metH		methionine synthase	8	8	1	301	4338				3644	3644	3644	PAGBNG_03189	EADAOE_03156	MJAKFC_01578	PIBFPJ_01307	MDFDNN_02740	BLLDNB_03663	KCCMJC_01362	HCOCDN_02700
	osmC		Organic hydroperoxide resistance protein	8	8	1	301	4331				428	428	428	PAGBNG_03195	EADAOE_03150	MJAKFC_01584	PIBFPJ_01301	MDFDNN_02747	BLLDNB_03657	KCCMJC_01368	HCOCDN_02694
	group_2181	histidine kinase	histidine kinase	8	8	1	301	4323				1217	1301	1290	PAGBNG_03203	EADAOE_03142	MJAKFC_01592	PIBFPJ_01293	MDFDNN_02755	BLLDNB_03649	KCCMJC_01376	HCOCDN_02686
	group_2184	Solute-binding protein family 3/N-terminal domain-containing protein	Solute-binding protein family 3/N-terminal domain-containing protein	8	8	1	301	4293				764	764	764	PAGBNG_03229	EADAOE_03115	MJAKFC_01618	PIBFPJ_01267	MDFDNN_02781	BLLDNB_03623	KCCMJC_01403	HCOCDN_02657
	glpF		Aquaporin family protein	8	8	1	301	4289				677	701	698	PAGBNG_03232	EADAOE_03112	MJAKFC_01621	PIBFPJ_01264	MDFDNN_02784	BLLDNB_03620	KCCMJC_03608	HCOCDN_02654
	Polyketide cyclase		Polyketide cyclase	8	8	1	301	4266				353	353	353	PAGBNG_03251	EADAOE_03094	MJAKFC_01639	PIBFPJ_01244	MDFDNN_02801	BLLDNB_03599	KCCMJC_01810	HCOCDN_02634
	SnoaL-like domain-containing protein		SnoaL-like domain-containing protein	8	8	1	301	4262				362	362	362	PAGBNG_03254	EADAOE_03091	MJAKFC_01642	PIBFPJ_01241	MDFDNN_02804	BLLDNB_03596	KCCMJC_01807	HCOCDN_02631
	group_2188	Transporter	Transporter	8	8	1	301	4256				266	266	266	PAGBNG_03259	EADAOE_03086	MJAKFC_01647	PIBFPJ_01236	MDFDNN_02810	BLLDNB_03589	KCCMJC_01802	HCOCDN_02626
	group_2189	gstA	glutathione transferase GstA	8	8	1	301	4254				608	608	608	PAGBNG_03261	EADAOE_03084	MJAKFC_01649	PIBFPJ_01234	MDFDNN_04946	BLLDNB_03587	KCCMJC_01800	HCOCDN_02624
	rarD		EamA family transporter RarD	8	8	1	301	4249				914	914	914	PAGBNG_03266	EADAOE_03079	MJAKFC_01654	PIBFPJ_01229	MDFDNN_02814	BLLDNB_03582	KCCMJC_01795	HCOCDN_02616
	group_2191	Holin	Holin	8	8	1	301	4248				290	290	290	PAGBNG_03267	EADAOE_03078	MJAKFC_01655	PIBFPJ_01228	MDFDNN_02815	BLLDNB_03581	KCCMJC_01794	HCOCDN_02615
	Lipocalin-like domain-containing protein		Lipocalin-like domain-containing protein	8	8	1	301	4236				386	386	386	PAGBNG_03279	EADAOE_03065	MJAKFC_03593	PIBFPJ_01216	MDFDNN_02826	BLLDNB_03569	KCCMJC_01782	HCOCDN_02603
	group_2193	hypothetical protein	hypothetical protein	8	8	1	301	4233				287	287	287	PAGBNG_03281	EADAOE_03063	MJAKFC_03591	PIBFPJ_01214	MDFDNN_02830	BLLDNB_03567	KCCMJC_01780	HCOCDN_02601
	GNAT family N-acetyltransferase		GNAT family N-acetyltransferase	8	8	1	301	4228				455	455	455	PAGBNG_03286	EADAOE_03058	MJAKFC_03586	PIBFPJ_01209	MDFDNN_02835	BLLDNB_03562	KCCMJC_01775	HCOCDN_02596
	Alanyl-tRNA editing protein		Alanyl-tRNA editing protein	8	8	1	301	4227				329	671	628	PAGBNG_03287	EADAOE_03057	MJAKFC_03585	PIBFPJ_01208	MDFDNN_02836	BLLDNB_03561	KCCMJC_01774	HCOCDN_02595
	ymfQ		Phage tail protein	8	8	1	301	4208				575	578	577	PAGBNG_03292	EADAOE_03052	MJAKFC_03580	PIBFPJ_01203	MDFDNN_02846	BLLDNB_03555	KCCMJC_01769	HCOCDN_02589
	group_2197	Phage tail protein	Phage tail protein	8	8	1	301	4207				1088	1088	1088	PAGBNG_03293	EADAOE_03051	MJAKFC_03579	PIBFPJ_01202	MDFDNN_02847	BLLDNB_03554	KCCMJC_01768	HCOCDN_02588
	gp46		Phage protein GP46	8	8	1	301	4206				350	350	350	PAGBNG_03294	EADAOE_03050	MJAKFC_03578	PIBFPJ_01201	MDFDNN_02848	BLLDNB_03553	KCCMJC_01767	HCOCDN_02587
	Phage baseplate assembly protein V		Phage baseplate assembly protein V	8	8	1	301	4205				641	641	641	PAGBNG_03295	EADAOE_03049	MJAKFC_03577	PIBFPJ_01200	MDFDNN_02849	BLLDNB_03552	KCCMJC_01766	HCOCDN_02586
	gpL		putative phage sheath protein	8	8	1	301	4198				1424	1424	1424	PAGBNG_03300	EADAOE_03044	MJAKFC_02879	PIBFPJ_01195	MDFDNN_02854	BLLDNB_03547	KCCMJC_01761	HCOCDN_02581
	Peptidase M15		Peptidase M15	8	8	1	301	4191				404	404	404	PAGBNG_03306	EADAOE_03038	MJAKFC_02885	PIBFPJ_01189	MDFDNN_02859	BLLDNB_03541	KCCMJC_01755	HCOCDN_02575
	16S rRNA (uracil(1498)-N(3))-methyltransferase		16S rRNA (uracil(1498)-N(3))-methyltransferase	8	8	1	301	4179				695	725	698	PAGBNG_03317	EADAOE_03027	MJAKFC_02896	PIBFPJ_01176	MDFDNN_02870	BLLDNB_03530	KCCMJC_01744	HCOCDN_02564
	Maebl		Maebl	8	8	1	301	4173				494	872	824	PAGBNG_03324	EADAOE_03021	MJAKFC_02903	PIBFPJ_01169	MDFDNN_02877	BLLDNB_03524	KCCMJC_01738	HCOCDN_02558
	DUF1508 domain-containing protein		DUF1508 domain-containing protein	8	8	1	301	4172				215	215	215	PAGBNG_03325	EADAOE_03020	MJAKFC_02904	PIBFPJ_01168	MDFDNN_02878	BLLDNB_03523	KCCMJC_01737	HCOCDN_02557
	group_2208	hypothetical protein	hypothetical protein	8	8	1	301	4146				236	236	236	PAGBNG_03347	EADAOE_02996	MJAKFC_02910	PIBFPJ_01162	MDFDNN_02881	BLLDNB_03502	KCCMJC_01731	HCOCDN_02535
	Aerotaxis receptor Aer		Aerotaxis receptor Aer	8	8	1	301	2078				443	554	540	PAGBNG_03359	EADAOE_02982	MJAKFC_02924	PIBFPJ_01151	MDFDNN_04367	BLLDNB_03489	KCCMJC_01719	HCOCDN_02523
	group_2210	Major facilitator superfamily (MFS) profile domain-containing protein	Major facilitator superfamily (MFS) profile domain-containing protein	8	8	1	301	2085				1316	1316	1316	PAGBNG_03366	EADAOE_02975	MJAKFC_02931	PIBFPJ_01144	MDFDNN_02899	BLLDNB_03482	KCCMJC_01712	HCOCDN_02516
	group_2212	acrB	Efflux pump membrane transporter	8	8	1	301	345				194	3143	2774	PAGBNG_03370	EADAOE_02948	MJAKFC_02784	PIBFPJ_01117	MDFDNN_02924	BLLDNB_03734	KCCMJC_02924	HCOCDN_02483
	rbbA		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA	8	8	1	301	348				911	911	911	PAGBNG_03373	EADAOE_02945	MJAKFC_02787	PIBFPJ_01114	MDFDNN_02930	BLLDNB_03737	KCCMJC_02927	HCOCDN_02480
	yadH		Transport permease protein	8	8	1	301	349				311	755	699	PAGBNG_03374	EADAOE_02944	MJAKFC_02788	PIBFPJ_01113	MDFDNN_02931	BLLDNB_03738	KCCMJC_02928	HCOCDN_02479
	group_2215	GNAT family N-acetyltransferase	GNAT family N-acetyltransferase	8	8	1	301	365				578	578	578	PAGBNG_03387	EADAOE_02931	MJAKFC_02801	PIBFPJ_01100	MDFDNN_02947	BLLDNB_03751	KCCMJC_02941	HCOCDN_02466
	group_2218	Transporter	Transporter	8	8	1	301	383				242	1514	1355	PAGBNG_03401	EADAOE_02917	MJAKFC_02814	PIBFPJ_01086	MDFDNN_02966	BLLDNB_02781	KCCMJC_03493	HCOCDN_02453
	group_2220	emrA	Membrane fusion protein biotin-lipoyl like domain-containing protein	8	8	1	301	384				695	743	725	PAGBNG_03402	EADAOE_02916	MJAKFC_02815	PIBFPJ_01085	MDFDNN_02968	BLLDNB_02782	KCCMJC_03492	HCOCDN_02452
