																					
	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
	HCOCDN_01364	243365.CV_3300	0.0	895.0	COG1263@1|root,COG1264@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,1MVVJ@1224|Proteobacteria,2W03T@28216|Betaproteobacteria	28216|Betaproteobacteria	G	Phosphotransferase system, EIIC	scrA	-	2.7.1.201,2.7.1.211	ko:K02809,ko:K02810,ko:K02818,ko:K02819	ko00500,ko02060,map00500,map02060	M00269,M00270	R00811,R02780	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.2.1,4.A.1.2.10,4.A.1.2.12,4.A.1.2.13,4.A.1.2.4,4.A.1.2.8,4.A.1.2.9	-	-	PTS_EIIB,PTS_EIIC
	HCOCDN_01381	243365.CV_3316	0.0	1482.0	COG3325@1|root,COG3979@1|root,COG3325@2|Bacteria,COG3979@2|Bacteria,1R3YZ@1224|Proteobacteria,2VZFR@28216|Betaproteobacteria,2KSRM@206351|Neisseriales	206351|Neisseriales	G	Chitinase C	-	-	3.2.1.14	ko:K01183	ko00520,ko01100,map00520,map01100	-	R01206,R02334	RC00467	ko00000,ko00001,ko01000	-	GH18	-	ChiC,Glyco_hydro_18
	HCOCDN_01395	243365.CV_3334	5.46e-98	285.0	COG1762@1|root,COG1762@2|Bacteria,1RD0E@1224|Proteobacteria,2VRDH@28216|Betaproteobacteria,2KR2M@206351|Neisseriales	206351|Neisseriales	G	PTS IIA-like nitrogen-regulatory protein PtsN	ptsN	-	-	ko:K02806	ko02060,map02060	-	-	-	ko00000,ko00001,ko01000,ko02000	-	-	-	PTS_EIIA_2
	HCOCDN_01412	243365.CV_3352	0.0	973.0	COG0696@1|root,COG0696@2|Bacteria,1MUQ1@1224|Proteobacteria,2VMTN@28216|Betaproteobacteria,2KQ14@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate	gpmI	-	5.4.2.12	ko:K15633	ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003	R01518	RC00536	ko00000,ko00001,ko00002,ko01000	-	-	-	Metalloenzyme,iPGM_N
	HCOCDN_01434	243365.CV_3373	8.01e-103	305.0	COG1023@1|root,COG1023@2|Bacteria,1NKDQ@1224|Proteobacteria,2VYX7@28216|Betaproteobacteria,2KS4R@206351|Neisseriales	206351|Neisseriales	G	phosphogluconate dehydrogenase (decarboxylating) activity	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01497	279714.FuraDRAFT_1134	1.65e-272	749.0	COG0148@1|root,COG0148@2|Bacteria,1MU1N@1224|Proteobacteria,2VH7Y@28216|Betaproteobacteria,2KPTJ@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis	eno	-	4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147	-	-	-	Enolase_C,Enolase_N
	HCOCDN_01542	243365.CV_3475	2.49e-210	605.0	COG0406@1|root,COG0406@2|Bacteria	2|Bacteria	G	alpha-ribazole phosphatase activity	-	-	2.7.1.11	ko:K00850	ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04152,ko05230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04152,map05230	M00001,M00345	R00756,R03236,R03237,R03238,R03239,R04779	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000,ko01009,ko03019	-	-	-	His_Phos_1
	HCOCDN_01555	243365.CV_3490	0.0	1528.0	COG3387@1|root,COG3387@2|Bacteria,1MYVI@1224|Proteobacteria,2VIRI@28216|Betaproteobacteria	28216|Betaproteobacteria	G	Glucodextranase, domain N	-	-	3.2.1.3	ko:K01178	ko00500,ko01100,map00500,map01100	-	R01790,R01791,R06199	-	ko00000,ko00001,ko01000	-	GH15	-	CBM_20,Glucodextran_N,Glyco_hydro_15
	HCOCDN_01625	243365.CV_1272	0.0	930.0	COG2723@1|root,COG2723@2|Bacteria,1MWG6@1224|Proteobacteria,2VIBY@28216|Betaproteobacteria,2KSS5@206351|Neisseriales	206351|Neisseriales	G	Glycosyl hydrolase family 1	-	-	3.2.1.86	ko:K01223	ko00010,ko00500,map00010,map00500	-	R00839,R05133,R05134	RC00049,RC00171,RC00714	ko00000,ko00001,ko01000	-	GT1	-	Glyco_hydro_1
	HCOCDN_01635	243365.CV_1260	8.33e-148	417.0	COG0120@1|root,COG0120@2|Bacteria,1MVGR@1224|Proteobacteria,2VH27@28216|Betaproteobacteria,2KQDX@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate	rpiA	-	5.3.1.6	ko:K01807	ko00030,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167,M00580	R01056	RC00434	ko00000,ko00001,ko00002,ko01000	-	-	-	Rib_5-P_isom_A
	HCOCDN_01690	243365.CV_3644	9.66e-178	496.0	COG0483@1|root,COG0483@2|Bacteria,1MUQT@1224|Proteobacteria,2VIXG@28216|Betaproteobacteria,2KQHE@206351|Neisseriales	206351|Neisseriales	G	Psort location Cytoplasmic, score 8.96	suhB	-	3.1.3.25	ko:K01092	ko00521,ko00562,ko01100,ko04070,map00521,map00562,map01100,map04070	M00131	R01185,R01186,R01187	RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	Inositol_P
	HCOCDN_01710	243365.CV_3654	4.78e-186	518.0	COG0395@1|root,COG0395@2|Bacteria,1MUWS@1224|Proteobacteria,2VICF@28216|Betaproteobacteria,2KSY8@206351|Neisseriales	206351|Neisseriales	G	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K17246	ko02010,map02010	M00601	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.40	-	-	BPD_transp_1
	HCOCDN_01712	243365.CV_3656	2.4e-297	813.0	COG1653@1|root,COG1653@2|Bacteria,1MVMW@1224|Proteobacteria,2VH0F@28216|Betaproteobacteria	28216|Betaproteobacteria	G	Extracellular solute-binding protein	ugpB	-	-	ko:K05813	ko02010,map02010	M00198	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.3	-	-	SBP_bac_8
	HCOCDN_01720	243365.CV_3660	7.23e-238	661.0	COG2379@1|root,COG2379@2|Bacteria,1MVIK@1224|Proteobacteria,2VHXK@28216|Betaproteobacteria,2KPQV@206351|Neisseriales	206351|Neisseriales	G	MOFRL family	-	-	2.7.1.165	ko:K11529	ko00030,ko00260,ko00561,ko00630,ko00680,ko01100,ko01120,ko01130,ko01200,map00030,map00260,map00561,map00630,map00680,map01100,map01120,map01130,map01200	M00346	R08572	RC00002,RC00428	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF4147,MOFRL
	HCOCDN_01755	243365.CV_3699	2.19e-291	795.0	COG1015@1|root,COG1015@2|Bacteria,1MVN8@1224|Proteobacteria	1224|Proteobacteria	G	Phosphotransfer between the C1 and C5 carbon atoms of pentose	deoB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008973,GO:0009056,GO:0009058,GO:0009117,GO:0009166,GO:0009262,GO:0009264,GO:0009987,GO:0016853,GO:0016866,GO:0016868,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0033554,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0055086,GO:0071704,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576	5.4.2.7	ko:K01839	ko00030,ko00230,map00030,map00230	-	R01057,R02749	RC00408	ko00000,ko00001,ko01000	-	-	iLF82_1304.LF82_0465,iNRG857_1313.NRG857_22165	Metalloenzyme
	HCOCDN_01815	1278307.KB907039_gene1122	1.83e-16	91.3	COG1523@1|root,COG1523@2|Bacteria,1PF6A@1224|Proteobacteria,1RWSX@1236|Gammaproteobacteria,2QJ0N@267894|Psychromonadaceae	1236|Gammaproteobacteria	G	Protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_01872	243365.CV_3791	5.46e-72	216.0	COG0545@1|root,COG0545@2|Bacteria,1RDA1@1224|Proteobacteria,2VSIG@28216|Betaproteobacteria,2KRBG@206351|Neisseriales	206351|Neisseriales	G	peptidyl-prolyl cis-trans isomerase	-	-	5.2.1.8	ko:K01802,ko:K03772	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C
	HCOCDN_01875	243365.CV_3795	3.65e-308	841.0	COG1109@1|root,COG1109@2|Bacteria,1MU24@1224|Proteobacteria,2VI3U@28216|Betaproteobacteria,2KPM3@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate	glmM	-	5.4.2.10	ko:K03431	ko00520,ko01100,ko01130,map00520,map01100,map01130	-	R02060	RC00408	ko00000,ko00001,ko01000	-	-	-	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
	HCOCDN_02047	243365.CV_0919	7.91e-224	619.0	COG1638@1|root,COG1638@2|Bacteria,1MVHC@1224|Proteobacteria,2VHPJ@28216|Betaproteobacteria,2KPW3@206351|Neisseriales	206351|Neisseriales	G	Bacterial extracellular solute-binding protein, family 7	-	-	-	ko:K11688	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.56.1	-	-	DctP
	HCOCDN_02048	243365.CV_0918	1.89e-119	343.0	COG3090@1|root,COG3090@2|Bacteria,1R3YK@1224|Proteobacteria,2VQMP@28216|Betaproteobacteria,2KR0E@206351|Neisseriales	206351|Neisseriales	G	Tripartite ATP-independent periplasmic transporters, DctQ component	dctQ	-	-	ko:K11689	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.56.1	-	-	DctQ
	HCOCDN_02049	243365.CV_0917	1.95e-290	796.0	COG1593@1|root,COG1593@2|Bacteria,1MU0F@1224|Proteobacteria,2VHJP@28216|Betaproteobacteria,2KQQP@206351|Neisseriales	206351|Neisseriales	G	TRAP dicarboxylate transporter, DctM subunit	-	-	-	ko:K11690	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.56.1	-	-	DctM
	HCOCDN_02137	243365.CV_0816	0.0	1068.0	COG1080@1|root,COG1080@2|Bacteria,1MUT8@1224|Proteobacteria,2VH9N@28216|Betaproteobacteria,2KPP5@206351|Neisseriales	206351|Neisseriales	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr)	ptsP	-	2.7.3.9	ko:K08483	ko02060,map02060	-	-	-	ko00000,ko00001,ko01000,ko02000	8.A.7	-	-	PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C
	HCOCDN_02138	243365.CV_0815	9.02e-51	161.0	COG1925@1|root,COG1925@2|Bacteria,1N6RM@1224|Proteobacteria,2VU8W@28216|Betaproteobacteria,2KRI7@206351|Neisseriales	206351|Neisseriales	G	phosphocarrier protein HPR	ptsH	-	-	ko:K11189	-	-	-	-	ko00000,ko02000	4.A.2.1	-	-	PTS-HPr
	HCOCDN_02139	243365.CV_0814	5.96e-82	243.0	COG2893@1|root,COG2893@2|Bacteria,1RHH7@1224|Proteobacteria,2VT9I@28216|Betaproteobacteria,2KU1B@206351|Neisseriales	206351|Neisseriales	G	PTS system fructose IIA component	-	-	2.7.1.194	ko:K02821	ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060	M00283,M00550	R07671	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.7.1	-	-	EIIA-man
	HCOCDN_02196	243365.CV_0745	7.47e-198	550.0	COG0726@1|root,COG0726@2|Bacteria,1N8Q4@1224|Proteobacteria,2VKEP@28216|Betaproteobacteria,2KRMF@206351|Neisseriales	206351|Neisseriales	G	polysaccharide deacetylase	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_deac_1
	HCOCDN_02218	243365.CV_0727	1.54e-71	218.0	COG3772@1|root,COG3772@2|Bacteria,1MZJD@1224|Proteobacteria,2VTZX@28216|Betaproteobacteria,2KS0I@206351|Neisseriales	206351|Neisseriales	G	Phage lysozyme	-	-	3.2.1.17	ko:K01185	-	-	-	-	ko00000,ko01000	-	-	-	Phage_lysozyme
	HCOCDN_02247	243365.CV_0705	3.35e-73	219.0	COG0545@1|root,COG0545@2|Bacteria,1RDA1@1224|Proteobacteria,2VTDV@28216|Betaproteobacteria,2KRAX@206351|Neisseriales	206351|Neisseriales	G	peptidyl-prolyl cis-trans isomerase	-	-	5.2.1.8	ko:K01802	-	-	-	-	ko00000,ko01000	-	-	-	FKBP_C
	HCOCDN_02286	243365.CV_0655	4.91e-131	372.0	COG0279@1|root,COG0279@2|Bacteria,1NJ8X@1224|Proteobacteria,2VN12@28216|Betaproteobacteria,2KPW6@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate	gmhA	-	5.3.1.28	ko:K03271	ko00540,ko01100,map00540,map01100	M00064	R05645,R09768,R09769	RC00434	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	SIS_2
	HCOCDN_02368	243365.CV_0559	0.0	941.0	COG1263@1|root,COG1264@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,1MY1V@1224|Proteobacteria,2VNVI@28216|Betaproteobacteria,2KSI3@206351|Neisseriales	206351|Neisseriales	G	Phosphotransferase system, EIIC	-	-	2.7.1.193	ko:K02803,ko:K02804	ko00520,ko02060,map00520,map02060	M00267	R05199	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.1.15,4.A.1.1.2,4.A.1.1.5,4.A.1.1.7	-	-	PTS_EIIB,PTS_EIIC
	HCOCDN_02370	243365.CV_0556	1.19e-256	705.0	COG1820@1|root,COG1820@2|Bacteria,1MW8Y@1224|Proteobacteria,2VK6M@28216|Betaproteobacteria,2KSEY@206351|Neisseriales	206351|Neisseriales	G	Amidohydrolase family	-	-	3.5.1.25	ko:K01443	ko00520,ko01130,map00520,map01130	-	R02059	RC00166,RC00300	ko00000,ko00001,ko01000	-	-	-	Amidohydro_1
	HCOCDN_02395	561230.PC1_3491	4.91e-76	233.0	COG4282@1|root,COG4282@2|Bacteria,1NJC5@1224|Proteobacteria	1224|Proteobacteria	G	SMI1 / KNR4 family	-	-	-	-	-	-	-	-	-	-	-	-	SMI1_KNR4
	HCOCDN_02401	243365.CV_0523	4.58e-181	510.0	COG3250@1|root,COG3250@2|Bacteria,1R87I@1224|Proteobacteria,2VH83@28216|Betaproteobacteria	28216|Betaproteobacteria	G	Protein of unknown function (DUF2804)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2804
	HCOCDN_02408	243365.CV_0511	2.28e-274	754.0	COG2271@1|root,COG2271@2|Bacteria,1QTW2@1224|Proteobacteria,2VMWN@28216|Betaproteobacteria	28216|Betaproteobacteria	G	PFAM major facilitator superfamily MFS_1	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
	HCOCDN_02426	243365.CV_0492	8.48e-121	347.0	COG0406@1|root,COG0406@2|Bacteria,1NPC4@1224|Proteobacteria,2VVHX@28216|Betaproteobacteria,2KRNN@206351|Neisseriales	206351|Neisseriales	G	phosphoglycerate mutase	gpmA	-	-	-	-	-	-	-	-	-	-	-	His_Phos_1
	HCOCDN_02533	243365.CV_0382	1.23e-120	348.0	COG3895@1|root,COG4461@1|root,COG3895@2|Bacteria,COG4461@2|Bacteria,1R6Q3@1224|Proteobacteria	1224|Proteobacteria	G	Protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	DUF3298,DUF4163,LprI,MliC
	HCOCDN_02540	1279017.AQYJ01000020_gene1328	4.88e-143	409.0	COG0235@1|root,COG0235@2|Bacteria,1MWP9@1224|Proteobacteria,1RQNI@1236|Gammaproteobacteria,466NS@72275|Alteromonadaceae	1236|Gammaproteobacteria	G	COG0235 Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases	-	-	4.1.2.17	ko:K01628	ko00051,ko01120,map00051,map01120	-	R02262	RC00603,RC00604	ko00000,ko00001,ko01000	-	-	-	Aldolase_II
	HCOCDN_02544	1217718.ALOU01000066_gene1902	9.43e-103	307.0	COG1830@1|root,COG1830@2|Bacteria,1MWJW@1224|Proteobacteria,2W1QW@28216|Betaproteobacteria,1KB48@119060|Burkholderiaceae	28216|Betaproteobacteria	G	DeoC/LacD family aldolase	-	-	-	-	-	-	-	-	-	-	-	-	DeoC
	HCOCDN_02555	243365.CV_0377	5.27e-131	382.0	COG1879@1|root,COG1879@2|Bacteria,1NRXG@1224|Proteobacteria,2VKUT@28216|Betaproteobacteria,2KR87@206351|Neisseriales	206351|Neisseriales	G	Periplasmic binding protein domain	-	-	-	ko:K10439	ko02010,ko02030,map02010,map02030	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	Peripla_BP_4
	HCOCDN_02565	243365.CV_0366	2.8e-181	505.0	COG0483@1|root,COG0483@2|Bacteria,1NFR1@1224|Proteobacteria,2VMQ4@28216|Betaproteobacteria,2KQ9P@206351|Neisseriales	206351|Neisseriales	G	Inositol-1-monophosphatase	suhB2	-	3.1.3.25,3.1.3.7	ko:K01082,ko:K01092	ko00521,ko00562,ko00920,ko01100,ko01120,ko01130,ko04070,map00521,map00562,map00920,map01100,map01120,map01130,map04070	M00131	R00188,R00508,R01185,R01186,R01187	RC00078	ko00000,ko00001,ko00002,ko01000,ko03016	-	-	-	Inositol_P
	HCOCDN_02572	243365.CV_0357	1.83e-119	343.0	COG0279@1|root,COG0279@2|Bacteria,1NJ8X@1224|Proteobacteria,2VN12@28216|Betaproteobacteria,2KPW6@206351|Neisseriales	28216|Betaproteobacteria	G	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate	gmhA	-	5.3.1.28	ko:K03271	ko00540,ko01100,map00540,map01100	M00064	R05645,R09768,R09769	RC00434	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	SIS_2
	HCOCDN_02609	243365.CV_0318	4.37e-168	473.0	COG0676@1|root,COG0676@2|Bacteria,1Q7VN@1224|Proteobacteria,2VKZK@28216|Betaproteobacteria,2KRUX@206351|Neisseriales	206351|Neisseriales	G	Belongs to the glucose-6-phosphate 1-epimerase family	-	-	5.1.3.15	ko:K01792	ko00010,ko01100,ko01110,ko01120,ko01130,map00010,map01100,map01110,map01120,map01130	-	R02739	RC00563	ko00000,ko00001,ko01000	-	-	-	Aldose_epim
	HCOCDN_02644	243365.CV_0262	5.08e-280	768.0	COG1653@1|root,COG1653@2|Bacteria,1QKXW@1224|Proteobacteria,2VX8Q@28216|Betaproteobacteria,2KSTX@206351|Neisseriales	206351|Neisseriales	G	Bacterial extracellular solute-binding protein	-	-	-	ko:K17244	ko02010,map02010	M00601	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.40	-	-	SBP_bac_8
	HCOCDN_02646	243365.CV_0260	5.44e-179	501.0	COG0395@1|root,COG0395@2|Bacteria,1MUWS@1224|Proteobacteria,2VICF@28216|Betaproteobacteria,2KSY8@206351|Neisseriales	206351|Neisseriales	G	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K17246	ko02010,map02010	M00601	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.40	-	-	BPD_transp_1
	HCOCDN_02654	243365.CV_0252	1.09e-154	435.0	COG0580@1|root,COG0580@2|Bacteria,1MXTJ@1224|Proteobacteria,2VQNQ@28216|Betaproteobacteria,2KR3A@206351|Neisseriales	206351|Neisseriales	G	Major intrinsic protein	-	-	-	ko:K02440	-	-	-	-	ko00000,ko02000	1.A.8.1,1.A.8.2	-	-	MIP
	HCOCDN_02656	243365.CV_0249	5.24e-299	820.0	COG0469@1|root,COG0469@2|Bacteria,1MU21@1224|Proteobacteria,2VHN5@28216|Betaproteobacteria,2KPKJ@206351|Neisseriales	206351|Neisseriales	G	Belongs to the pyruvate kinase family	pyk	-	2.7.1.40	ko:K00873	ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230	M00001,M00002,M00049,M00050	R00200,R00430,R01138,R01858,R02320	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	PK,PK_C
	HCOCDN_02666	243365.CV_0241	5.16e-86	258.0	COG1762@1|root,COG1762@2|Bacteria,1PKI1@1224|Proteobacteria,2W2UQ@28216|Betaproteobacteria	28216|Betaproteobacteria	G	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	-	-	-	ko:K02806	ko02060,map02060	-	-	-	ko00000,ko00001,ko01000,ko02000	-	-	-	PTS_EIIA_2
	HCOCDN_02733	243365.CV_0191	0.0	1277.0	COG0021@1|root,COG0021@2|Bacteria,1MUEY@1224|Proteobacteria,2VHNX@28216|Betaproteobacteria,2KPGW@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate	tkt	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C,Transketolase_N
	HCOCDN_02737	243365.CV_0187	8.52e-245	673.0	COG0191@1|root,COG0191@2|Bacteria,1MURX@1224|Proteobacteria,2VHGI@28216|Betaproteobacteria,2KPXV@206351|Neisseriales	206351|Neisseriales	G	Fructose-bisphosphate aldolase, class II, Calvin cycle subtype	fba	-	4.1.2.13	ko:K01624	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00003,M00165,M00167,M00344,M00345	R01068,R01070,R01829,R02568	RC00438,RC00439,RC00603,RC00604	ko00000,ko00001,ko00002,ko01000	-	-	-	F_bP_aldolase
	HCOCDN_02798	243365.CV_0149	0.0	1069.0	COG0166@1|root,COG0166@2|Bacteria,1MUFP@1224|Proteobacteria,2VHR9@28216|Betaproteobacteria,2KPPS@206351|Neisseriales	206351|Neisseriales	G	Belongs to the GPI family	pgi	-	5.3.1.9	ko:K01810	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	M00001,M00004,M00114	R02739,R02740,R03321	RC00376,RC00563	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	PGI
	HCOCDN_02801	243365.CV_0146	3.86e-121	350.0	COG0363@1|root,COG0363@2|Bacteria,1R5K6@1224|Proteobacteria,2VS1H@28216|Betaproteobacteria,2KQDN@206351|Neisseriales	206351|Neisseriales	G	6-phosphogluconolactonase	pgl	-	3.1.1.31	ko:K01057	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200	M00004,M00006,M00008	R02035	RC00537	ko00000,ko00001,ko00002,ko01000	-	-	-	Glucosamine_iso
	HCOCDN_02802	243365.CV_0145	0.0	957.0	COG0364@1|root,COG0364@2|Bacteria,1MUN0@1224|Proteobacteria,2VHS1@28216|Betaproteobacteria,2KPHT@206351|Neisseriales	206351|Neisseriales	G	Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone	zwf	-	1.1.1.363,1.1.1.49	ko:K00036	ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,ko05230,map00030,map00480,map01100,map01110,map01120,map01130,map01200,map05230	M00004,M00006,M00008	R00835,R02736,R10907	RC00001,RC00066	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	G6PD_C,G6PD_N
	HCOCDN_02804	243365.CV_0143	2.46e-130	372.0	COG0800@1|root,COG0800@2|Bacteria,1MUVJ@1224|Proteobacteria,2VQWM@28216|Betaproteobacteria,2KQFB@206351|Neisseriales	206351|Neisseriales	G	Psort location Cytoplasmic, score	eda	-	4.1.2.14,4.1.3.42	ko:K01625	ko00030,ko00630,ko01100,ko01120,ko01200,map00030,map00630,map01100,map01120,map01200	M00008,M00061,M00308,M00631	R00470,R05605	RC00307,RC00308,RC00435	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldolase
	HCOCDN_02865	684949.ATTJ01000001_gene2496	3.91e-71	227.0	COG2513@1|root,COG2513@2|Bacteria	2|Bacteria	G	methylisocitrate lyase activity	MA20_35565	-	4.1.3.30	ko:K03417	ko00640,map00640	-	R00409	RC00286,RC00287	ko00000,ko00001,ko01000	-	-	-	PEP_mutase
	HCOCDN_02957	243365.CV_4294	5.15e-94	276.0	COG0662@1|root,COG0662@2|Bacteria,1RHRM@1224|Proteobacteria,2VTBD@28216|Betaproteobacteria,2KT6H@206351|Neisseriales	206351|Neisseriales	G	Cupin 2, conserved barrel domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
	HCOCDN_02969	243365.CV_4278	1.56e-229	631.0	COG0524@1|root,COG0524@2|Bacteria,1PDQE@1224|Proteobacteria,2VHMF@28216|Betaproteobacteria,2KPD3@206351|Neisseriales	206351|Neisseriales	G	pfkB family carbohydrate kinase	-	-	2.7.1.15,2.7.1.20	ko:K00852,ko:K00856	ko00030,ko00230,ko01100,map00030,map00230,map01100	-	R00185,R01051,R02750	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PfkB
	HCOCDN_03011	243365.CV_4240	0.0	1035.0	COG3325@1|root,COG3979@1|root,COG3325@2|Bacteria,COG3979@2|Bacteria,1MWAR@1224|Proteobacteria,2VPQW@28216|Betaproteobacteria,2KSTP@206351|Neisseriales	206351|Neisseriales	G	Glyco_18	-	-	3.2.1.14	ko:K01183	ko00520,ko01100,map00520,map01100	-	R01206,R02334	RC00467	ko00000,ko00001,ko01000	-	GH18	-	Glyco_hydro_18
